,Date,Route,Rating,Notes,URL,Pitches,Location,Avg Stars,Your Stars,Style,Lead Style,Route Type,Your Rating,Length,Rating Code
734,2022-08-19,5.8 sport,5.8,"Whaleback, Beechy Head, Vancouver Island",https://www.mountainproject.com/route/112166269/58-sport,1,* In Progress > Generic Area,2.7,-1,Lead,,Sport,,,2100
748,2022-08-10,5.6 sport,5.6,"Short crack left of Free and Easy Area (maybe called Sidecar?), Squamish",https://www.mountainproject.com/route/112166261/56-sport,1,* In Progress > Generic Area,1.8,-1,Solo,,Sport,,,1600
749,2022-08-10,5.5 sport,5.5,"Channel No. 5, Free and Easy, Smoke Bluffs, Squamish",https://www.mountainproject.com/route/119629029/55-sport,1,* In Progress > Generic Area,1.9,-1,Solo,,Sport,,,1500
750,2022-08-10,5.5 sport,5.5,"Elsinore (listed as 5.8 in book, but way easy), Free and Easy, Smoke Bluffs, Squamish",https://www.mountainproject.com/route/119629029/55-sport,1,* In Progress > Generic Area,1.9,-1,Solo,,Sport,,,1500
751,2022-08-10,5.5 sport,5.5,"Unknown easy route at Island in the Sky, Smoke Bluffs, Squamish.",https://www.mountainproject.com/route/119629029/55-sport,1,* In Progress > Generic Area,1.9,-1,Solo,,Sport,,,1500
755,2022-08-09,V7 boulder,V7,"Maxi Pad, The Clean Boulders,  Squamish",https://www.mountainproject.com/route/112232363/v7-boulder,1,* In Progress > Generic Area,3.4,-1,Send,,Boulder,,,20700
756,2022-08-09,V7 boulder,V7,"Maxi Pad, The Clean Boulders,  Squamish",https://www.mountainproject.com/route/112232363/v7-boulder,4,* In Progress > Generic Area,3.4,-1,Attempt,,Boulder,,,20700
789,2022-07-30,5.6 sport,5.6,"Shannon Springs Traverse, Squamish.",https://www.mountainproject.com/route/112166261/56-sport,1,* In Progress > Generic Area,1.8,-1,Lead,,Sport,,,1600
794,2022-07-29,5.11b sport,5.11b,"Deflowered, Debeques Hill, Squamish",https://www.mountainproject.com/route/112166328/511b-sport,1,* In Progress > Generic Area,2.9,-1,Lead,Onsight,Sport,,,4900
795,2022-07-29,5.11a sport,5.11a,"Permit Process, Debeques Hill, Squamish",https://www.mountainproject.com/route/112166325/511a-sport,1,* In Progress > Generic Area,2.9,-1,Lead,Onsight,Sport,,,4600
796,2022-07-29,5.10d sport,5.10d,"Three Pistols, Debeques Hill, Squamish",https://www.mountainproject.com/route/112166322/510d-sport,1,* In Progress > Generic Area,2.9,-1,Lead,Onsight,Sport,,,3500
797,2022-07-29,5.8 sport,5.8,"Easy Tango, Debeques Hill, Squamish",https://www.mountainproject.com/route/112166269/58-sport,1,* In Progress > Generic Area,2.7,-1,Lead,Onsight,Sport,,,2100
806,2022-07-23,5.11a sport,5.11a,"Deep Creek, blue streak right of the big waterfall on the main wall. Awesome climb. ",https://www.mountainproject.com/route/112166325/511a-sport,1,* In Progress > Generic Area,2.9,-1,Lead,Onsight,Sport,,,4600
807,2022-07-23,5.10b sport,5.10b,"Deep Creek, main wall. Loooong route to the rim, right of the approach gully.",https://www.mountainproject.com/route/112166299/510b-sport,1,* In Progress > Generic Area,2.9,-1,Lead,,Sport,,,2900
808,2022-07-23,5.12a sport,5.12a,"Deep Creek, main wall, middle of 3 routes on red wall right of the approach gully.",https://www.mountainproject.com/route/112166339/512a-sport,1,* In Progress > Generic Area,3.0,-1,TR,,Sport,,,6600
809,2022-07-22,5.11d sport,5.11d,"Flower Pot route, Deep Creek Sam&#39;s Route at the south wall. Unfinished. ",https://www.mountainproject.com/route/112166335/511d-sport,1,* In Progress > Generic Area,3.2,-1,TR,,Sport,,,5500
810,2022-07-22,5.11b sport,5.11b,"Dr. Rainbow&#39;s Infinity Mirror (working title) - new route at Deep Creek, South wall, right of the flower pot feature.FA",https://www.mountainproject.com/route/112166328/511b-sport,1,* In Progress > Generic Area,2.9,-1,Lead,Redpoint,Sport,,,4900
811,2022-07-21,5.11b sport,5.11b,"Dr. Rainbow&#39;s Infinity Mirror (working title) - new route at Deep Creek, South wall, right of the flower pot feature.",https://www.mountainproject.com/route/112166328/511b-sport,1,* In Progress > Generic Area,2.9,-1,TR,,Sport,,,4900
812,2022-07-21,5.11b sport,5.11b,"Dr. Rainbow&#39;s Infinity Mirror (working title) - new route at Deep Creek, South wall, right of the flower pot feature.",https://www.mountainproject.com/route/112166328/511b-sport,1,* In Progress > Generic Area,2.9,-1,TR,,Sport,,,4900
813,2022-07-20,5.11 a/b sport,5.11a/b,"Deep Creek, South Wall, clean vertical face w/ glue-ins",https://www.mountainproject.com/route/112847381/511-ab-sport,1,* In Progress > Generic Area,2.7,-1,Lead,Flash,Sport,,,4800
814,2022-07-20,5.10b/c sport,5.10b/c,"Deep Creek,  South wall, shallow Dihedral right of striking vert face w/ glue ins. ",https://www.mountainproject.com/route/118779761/510bc-sport,1,* In Progress > Generic Area,2.9,-1,Lead,Flash,Sport,,,3100
861,2022-07-02,5.10b sport,5.10b,"The North Country, Where the Wild Things Are",https://www.mountainproject.com/route/112166299/510b-sport,1,* In Progress > Generic Area,2.9,-1,Lead,Flash,Sport,,,2900
862,2022-07-02,5.12a sport,5.12a,"The North Country, Wicked Felina, 2 attempts",https://www.mountainproject.com/route/112166339/512a-sport,2,* In Progress > Generic Area,3.0,-1,Lead,Fell/Hung,Sport,,,6600
863,2022-07-02,5.11d sport,5.11d,"The North Country, All Manner of Wonderments",https://www.mountainproject.com/route/112166335/511d-sport,1,* In Progress > Generic Area,3.2,-1,Lead,Redpoint,Sport,,,5500
864,2022-07-02,5.11d sport,5.11d,"The North Country, All Manner of Wonderments ",https://www.mountainproject.com/route/112166335/511d-sport,1,* In Progress > Generic Area,3.2,-1,Lead,Fell/Hung,Sport,,,5500
865,2022-07-02,5.10a sport,5.10a,The North Country. Right of trailhead wall. 2nd of 3 routes on a slab,https://www.mountainproject.com/route/112166313/510a-sport,1,* In Progress > Generic Area,2.6,-1,Lead,Onsight,Sport,,,2600
866,2022-07-02,5.10b sport,5.10b,"The North Country. Right of trailhead wall, 1st of 3 routes on a slab",https://www.mountainproject.com/route/112166299/510b-sport,1,* In Progress > Generic Area,2.9,-1,Lead,Onsight,Sport,,,2900
959,2022-02-14,V0 boulder,V0,Hook Billed Owl at Endabgered Species Boulder,https://www.mountainproject.com/route/112232340/v0-boulder,1,* In Progress > Generic Area,2.6,-1,Send,,Boulder,,,20008
960,2022-02-14,V0 boulder,V0,Nocturnal Sand Turtle at Endangered Species Boulder,https://www.mountainproject.com/route/112232340/v0-boulder,1,* In Progress > Generic Area,2.6,-1,Send,,Boulder,,,20008
961,2022-02-14,V0 boulder,V0,Poison Blue Fox at Endangered Species Boulder,https://www.mountainproject.com/route/112232340/v0-boulder,1,* In Progress > Generic Area,2.6,-1,Send,,Boulder,,,20008
1067,2021-10-10,5.11b sport,5.11b,Le Crossant - Signal Point.,https://www.mountainproject.com/route/112166328/511b-sport,1,* In Progress > Generic Area,2.9,-1,Lead,Flash,Sport,,,4900
1068,2021-10-10,5.7 sport,5.7,"Tiramisu - Signal Point. Drilled on lead, 4 lead bolts + drop in hangers. FFA Shane Wyenn",https://www.mountainproject.com/route/112166265/57-sport,1,* In Progress > Generic Area,2.3,-1,Lead,,Sport,,,1800
1077,2021-10-04,5.10b trad,5.10b,Hunter Museum DWS traverse. Ahhh-mazing… except for the copious spider webs,https://www.mountainproject.com/route/112169056/510b-trad,1,* In Progress > Generic Area,3.5,-1,Solo,,Trad,,,2900
1187,2021-05-30,5.11c sport,5.11c,Deep Creek - Amazing arete between tan wall north of approach gully and the massive cave.,https://www.mountainproject.com/route/112166332/511c-sport,1,* In Progress > Generic Area,2.8,-1,Lead,Redpoint,Sport,,,5200
1188,2021-05-30,5.11c sport,5.11c,"Deep Creek - Amazing arete between tan wall north of approach gully and the massive cave. Shit belay, but the climbing is 5 stars. ",https://www.mountainproject.com/route/112166332/511c-sport,1,* In Progress > Generic Area,2.8,-1,Lead,Fell/Hung,Sport,,,5200
1189,2021-05-30,5.10a sport,5.10a,Deep Creek - Tan wall north of approach gully. Far right route on this section of wall.,https://www.mountainproject.com/route/112166313/510a-sport,1,* In Progress > Generic Area,2.6,-1,Lead,Flash,Sport,,,2600
1190,2021-05-29,5.12a sport,5.12a,"Deep Creek - Middle of big east facing wall. Great 5.10 climbing through a cool small corner down low to a fantastic 5.12 crux.3rd attempt",https://www.mountainproject.com/route/112166339/512a-sport,1,* In Progress > Generic Area,3.0,-1,Lead,Fell/Hung,Sport,,,6600
1191,2021-05-29,5.12a sport,5.12a,"Deep Creek - Middle of big east facing wall. Great 5.10 climbing through a cool small corner down low to a fantastic 5.12 crux.2nd attempt",https://www.mountainproject.com/route/112166339/512a-sport,1,* In Progress > Generic Area,3.0,-1,Lead,Fell/Hung,Sport,,,6600
1192,2021-05-29,5.12a sport,5.12a,"Deep Creek - Middle of big east facing wall. Great 5.10 climbing through a cool small corner down low to a fantastic 5.12 crux. The bolts through the crux are in a smooth, wavy gray face through the crux, and the climbing stays left of the bolts, then moves right of them just before the anchor. ",https://www.mountainproject.com/route/112166339/512a-sport,1,* In Progress > Generic Area,3.0,-1,Lead,Fell/Hung,Sport,,,6600
1193,2021-05-29,5.11d sport,5.11d,"Deep Creek - NW facing overhang wall, just north of prow, near fixed line right of cave.2nd attempt",https://www.mountainproject.com/route/112166335/511d-sport,1,* In Progress > Generic Area,3.2,-1,Lead,Fell/Hung,Sport,,,5500
1194,2021-05-29,5.11d sport,5.11d,"Deep Creek - NW facing overhang wall, just north of prow, near fixed line right of cave. Fun vert section to a roof with mega jugs. then more sustained techy vertical climbing. We stopped at the last fixed draw before a hangerless bolt, then more fixed draws above. 3.5 stars!",https://www.mountainproject.com/route/112166335/511d-sport,1,* In Progress > Generic Area,3.2,-1,Lead,Fell/Hung,Sport,,,5500
1210,2021-05-16,5.12b sport,5.12b,"Fledgling Angels, 12b, Zine of Silence, Rifle",https://www.mountainproject.com/route/112170129/512b-sport,1,* In Progress > Generic Area,3.1,-1,Lead,Fell/Hung,Sport,,,6900
1211,2021-05-16,5.12b sport,5.12b,"Fledgling Angel, 12b, zone of silence, Rifle",https://www.mountainproject.com/route/112170129/512b-sport,1,* In Progress > Generic Area,3.1,-1,Lead,Fell/Hung,Sport,,,6900
1538,2019-07-09,5.11b sport,5.11b,"The North Country, Syrene Song",https://www.mountainproject.com/route/112166328/511b-sport,1,* In Progress > Generic Area,2.9,-1,Lead,Redpoint,Sport,,,4900
1539,2019-07-09,5.9 sport,5.9,"The North Country, Summit Fever",https://www.mountainproject.com/route/112166293/59-sport,1,* In Progress > Generic Area,2.4,-1,Lead,Onsight,Sport,,,2400
1540,2019-07-09,5.11b sport,5.11b,"The North Country, Devil’s in Baggy Pants",https://www.mountainproject.com/route/112166328/511b-sport,1,* In Progress > Generic Area,2.9,-1,Lead,Onsight,Sport,,,4900
1541,2019-07-09,5.11a sport,5.11a,"The North Country, Lying, Unconstant Succubus",https://www.mountainproject.com/route/112166325/511a-sport,1,* In Progress > Generic Area,2.9,-1,Lead,Onsight,Sport,,,4600
1542,2019-07-09,5.11c sport,5.11c,"The North Country, I don’t want fop god dammit",https://www.mountainproject.com/route/112166332/511c-sport,1,* In Progress > Generic Area,2.8,-1,Lead,Fell/Hung,Sport,,,5200
1543,2019-07-09,5.10a sport,5.10a,"The North Country, Domestic Disturbance",https://www.mountainproject.com/route/112166313/510a-sport,1,* In Progress > Generic Area,2.6,-1,Lead,Onsight,Sport,,,2600
1630,2019-03-12,5.10c sport,5.10c,chossy slab across from canal zone,https://www.mountainproject.com/route/112166317/510c-sport,1,* In Progress > Generic Area,2.6,-1,Lead,Flash,Sport,,,3200
1780,2018-07-17,5.10c sport,5.10c,"Tensleep, left of waterfall",https://www.mountainproject.com/route/112166317/510c-sport,1,* In Progress > Generic Area,2.6,-1,Lead,Onsight,Sport,,,3200
1781,2018-07-17,5.10b sport,5.10b,"Tensleep, left of waterall",https://www.mountainproject.com/route/112166299/510b-sport,1,* In Progress > Generic Area,2.9,-1,Lead,Flash,Sport,,,2900
1782,2018-07-17,5.11b sport,5.11b,"Tensleep, left of waterfall",https://www.mountainproject.com/route/112166328/511b-sport,1,* In Progress > Generic Area,2.9,-1,Lead,Onsight,Sport,,,4900
