,Date,Route,Rating,Notes,URL,Pitches,Location,Avg Stars,Your Stars,Style,Lead Style,Route Type,Your Rating,Length,Rating Code
627,2023-03-27,"Ladies First","V2",,"https://www.mountainproject.com/route/627Generic/",1,"Ezekiel wall, Middle Mesteno, Roy",3.1,-1,Flash,,Boulder,, ,20200
628,2023-03-27,"90% Cocoa","V2",,"https://www.mountainproject.com/route/628Generic/",1,"Ezekiel Wall, Middle Mesteno, Roy",3.1,-1,Send,,Boulder,, ,20200
640,2023-03-24,"Snail Trail (corner)","V0",,"https://www.mountainproject.com/route/640Generic/",1,"Ezekiel wall, Middle Mesteno, Roy",2.6,-1,Flash,,Boulder,, ,20008
684,2023-01-08,"The Strip","V7",,"https://www.mountainproject.com/route/684Generic/",1,"Vegas",3.4,-1,Attempt,,Boulder,, ,20700
732,2022-08-19,"Outrageous","5.12b",,"https://www.mountainproject.com/route/732Generic/",1,"The colliseum, Vancouver Island",3.1,-1,Lead,Fell/Hung,Sport,, ,6900
733,2022-08-19,"Abbey Road","5.9",,"https://www.mountainproject.com/route/733Generic/",1,"Beechy Head, Vancouver Island",3.2,-1,Lead,Onsight,Trad,, ,2400
734,2022-08-19,"Whaleback","5.8",,"https://www.mountainproject.com/route/734Generic/",1,"Beechy Head, Vancouver Island",2.7,-1,Lead,Onsight,Sport,, ,2100
748,2022-08-10,"Sidecar","5.6",,"https://www.mountainproject.com/route/748Generic/",1,"Squamish",1.8,-1,Solo,,Sport,, ,1600
749,2022-08-10,"Channel No. 5","5.5",,"https://www.mountainproject.com/route/749Generic/",1,"Free and Easy, Smoke Bluffs, Squamish",1.9,-1,Solo,,Sport,, ,1500
750,2022-08-10,"Elsinore","5.5",,"https://www.mountainproject.com/route/750Generic/",1,"Free and Easy, Smoke Bluffs, Squamish",1.9,-1,Solo,,Sport,, ,1500
751,2022-08-10,"Unknown Route","5.5",,"https://www.mountainproject.com/route/751Generic/",1,"Island in the Sky, Smoke Bluffs, Squamish",1.9,-1,Solo,,Sport,, ,1500
755,2022-08-09,"Maxi Pad","V7",,"https://www.mountainproject.com/route/755Generic/",1,"The Clean Boulders,  Squamish",3.4,-1,Send,,Boulder,, ,20700
756,2022-08-09,"Maxi Pad","V7",,"https://www.mountainproject.com/route/755Generic/",4,"The Clean Boulders,  Squamish",3.4,-1,Attempt,,Boulder,, ,20700
789,2022-07-30,"Shannon Springs Traverse","5.6",,"https://www.mountainproject.com/route/789Generic/",1,"Squamish",1.8,-1,Lead,,Sport,, ,1600
794,2022-07-29,"Deflowered","5.11b",,"https://www.mountainproject.com/route/794Generic/",1,"Debeques Hill, Squamish",2.9,-1,Lead,Onsight,Sport,, ,4900
795,2022-07-29,"Permit Process","5.11a",,"https://www.mountainproject.com/route/795Generic/",1,"Debeques Hill, Squamish",2.9,-1,Lead,Onsight,Sport,, ,4600
796,2022-07-29,"Three Pistols","5.10d",,"https://www.mountainproject.com/route/796Generic/",1,"Debeques Hill, Squamish",2.9,-1,Lead,Onsight,Sport,, ,3500
797,2022-07-29,"Easy Tango","5.8",,"https://www.mountainproject.com/route/797Generic/",1,"Debeques Hill, Squamish",2.7,-1,Lead,Onsight,Sport,, ,2100
806,2022-07-23,"Blue Streak Right Waterfall","5.11a",,"https://www.mountainproject.com/route/806Generic/",1,"Deep Creek",2.9,-1,Lead,Onsight,Sport,, ,4600
807,2022-07-23,"Long Route Right Gully","5.10b",,"https://www.mountainproject.com/route/807Generic/",1,"Deep Creek",2.9,-1,Lead,Onsight,Sport,, ,2900
808,2022-07-23,"Middle 3 Red Wall","5.12a",,"https://www.mountainproject.com/route/808Generic/",1,"Deep Creek",3.0,-1,TR,,Sport,, ,6600
809,2022-07-22,"Flower Pot Route","5.11d",,"https://www.mountainproject.com/route/809Generic/",1,"Deep Creek",3.2,-1,TR,,Sport,, ,5500
810,2022-07-22,"Dr. Rainbow's Infinity Mirror","5.11b",,"https://www.mountainproject.com/route/810Generic/",1,"Deep Creek",2.9,-1,Lead,Redpoint,Sport,, ,4900
811,2022-07-21,"Dr. Rainbow's Infinity Mirror","5.11b",,"https://www.mountainproject.com/route/810Generic/",1,"Deep Creek",2.9,-1,TR,,Sport,, ,4900
812,2022-07-21,"Dr. Rainbow's Infinity Mirror","5.11b",,"https://www.mountainproject.com/route/810Generic/",1,"Deep Creek",2.9,-1,TR,,Sport,, ,4900
813,2022-07-20,"South Wall Clean Face","5.11a/b",,"https://www.mountainproject.com/route/813Generic/",1,"Deep Creek",2.7,-1,Lead,Flash,Sport,, ,4800
814,2022-07-20,"Shallow Dihedral Right Face","5.10b/c",,"https://www.mountainproject.com/route/814Generic/",1,"Deep Creek",2.9,-1,Lead,Flash,Sport,, ,3100
861,2022-07-02,"Where the Wild Things Are","5.10b",,"https://www.mountainproject.com/route/861Generic/",1,"The North Country",2.9,-1,Lead,Flash,Sport,, ,2900
862,2022-07-02,"Wicked Felina","5.12a",,"https://www.mountainproject.com/route/862Generic/",2,"The North Country",3.0,-1,Lead,"Fell/Hung",Sport,, ,6600
863,2022-07-02,"All Manner of Wonderments","5.11d",,"https://www.mountainproject.com/route/863Generic/",1,"The North Country",3.2,-1,Lead,Redpoint,Sport,, ,5500
864,2022-07-02,"All Manner of Wonderments","5.11d",,"https://www.mountainproject.com/route/863Generic/",1,"The North Country",3.2,-1,Lead,"Fell/Hung",Sport,, ,5500
865,2022-07-02,"2nd Slab Right Trailhead","5.10a",,"https://www.mountainproject.com/route/865Generic/",1,"The North Country",2.6,-1,Lead,Onsight,Sport,, ,2600
866,2022-07-02,"1st Slab Right Trailhead","5.10b",,"https://www.mountainproject.com/route/866Generic/",1,"The North Country",2.9,-1,Lead,Onsight,Sport,, ,2900
959,2022-02-14,"Hook Billed Owl","V0",,"https://www.mountainproject.com/route/959Generic/",1,"Endabgered Species Boulder",2.6,-1,Send,,Boulder,, ,20008
960,2022-02-14,"Nocturnal Sand Turtle","V0",,"https://www.mountainproject.com/route/960Generic/",1,"Endangered Species Boulder",2.6,-1,Send,,Boulder,, ,20008
961,2022-02-14,"Poison Blue Fox","V0",,"https://www.mountainproject.com/route/961Generic/",1,"Endangered Species Boulder",2.6,-1,Send,,Boulder,, ,20008
1067,2021-10-10,"Le Crossant","5.11b",,"https://www.mountainproject.com/route/1067Generic/",1,"Signal Point",2.9,-1,Lead,Flash,Sport,, ,4900
1068,2021-10-10,"Tiramisu","5.7",,"https://www.mountainproject.com/route/1068Generic/",1,"Signal Point",2.3,-1,Lead,Redpoint,Sport,, ,1800
1077,2021-10-04,"Hunter Museum DWS","5.10b",,"https://www.mountainproject.com/route/1077Generic/",1,"unknown",3.5,-1,Solo,,Trad,, ,2900
1187,2021-05-30,"Amazing Arete Tan Wall","5.11c",,"https://www.mountainproject.com/route/1187Generic/",1,"Deep Creek",2.8,-1,Lead,Redpoint,Sport,, ,5200
1188,2021-05-30,"Amazing Arete Tan Wall","5.11c",,"https://www.mountainproject.com/route/1187Generic/",1,"Deep Creek",2.8,-1,Lead,"Fell/Hung",Sport,, ,5200
1189,2021-05-30,"Far Right Tan Wall","5.10a",,"https://www.mountainproject.com/route/1189Generic/",1,"Deep Creek",2.6,-1,Lead,Flash,Sport,, ,2600
1190,2021-05-29,"Middle East Facing Wall","5.12a",,"https://www.mountainproject.com/route/1190Generic/",1,"Deep Creek",3.0,-1,Lead,"Fell/Hung",Sport,, ,6600
1191,2021-05-29,"Middle East Facing Wall","5.12a",,"https://www.mountainproject.com/route/1190Generic/",1,"Deep Creek",3.0,-1,Lead,"Fell/Hung",Sport,, ,6600
1192,2021-05-29,"Middle East Facing Wall","5.12a",,"https://www.mountainproject.com/route/1190Generic/",1,"Deep Creek",3.0,-1,Lead,"Fell/Hung",Sport,, ,6600
1193,2021-05-29,"NW Overhang Just North","5.11d",,"https://www.mountainproject.com/route/1193Generic/",1,"Deep Creek",3.2,-1,Lead,"Fell/Hung",Sport,, ,5500
1194,2021-05-29,"NW Overhang Just North","5.11d",,"https://www.mountainproject.com/route/1193Generic/",1,"Deep Creek",3.2,-1,Lead,"Fell/Hung",Sport,, ,5500
1210,2021-05-16,"Fledgling Angels","5.12b",,"https://www.mountainproject.com/route/1210Generic/",1,"Rifle",3.1,-1,Lead,"Fell/Hung",Sport,, ,6900
1211,2021-05-16,"Fledgling Angel","5.12b",,"https://www.mountainproject.com/route/1211Generic/",1,"Rifle",3.1,-1,Lead,"Fell/Hung",Sport,, ,6900
1538,2019-07-09,"Syrene Song","5.11b",,"https://www.mountainproject.com/route/1538Generic/",1,"The North Country",2.9,-1,Lead,Redpoint,Sport,, ,4900
1539,2019-07-09,"Summit Fever","5.9",,"https://www.mountainproject.com/route/1539Generic/",1,"The North Country",2.4,-1,Lead,Onsight,Sport,, ,2400
1540,2019-07-09,"Devil’s in Baggy Pants","5.11b",,"https://www.mountainproject.com/route/1540Generic/",1,"The North Country",2.9,-1,Lead,Onsight,Sport,, ,4900
1541,2019-07-09,"Lying, Unconstant Succubus","5.11a",,"https://www.mountainproject.com/route/1541Generic/",1,"The North Country",2.9,-1,Lead,Onsight,Sport,, ,4600
1542,2019-07-09,"I don't want fop","5.11c",,"https://www.mountainproject.com/route/1542Generic/",1,"The North Country",2.8,-1,Lead,"Fell/Hung",Sport,, ,5200
1543,2019-07-09,"Domestic Disturbance","5.10a",,"https://www.mountainproject.com/route/1543Generic/",1,"The North Country",2.6,-1,Lead,Onsight,Sport,, ,2600
1630,2019-03-12,"Chossy Slab Canal Zone","5.10c",,"https://www.mountainproject.com/route/1630Generic/",1,"unknown",2.6,-1,Lead,Flash,Sport,, ,3200
1780,2018-07-17,"Left of Waterfall 1","5.10c",,"https://www.mountainproject.com/route/1780Generic/",1,"Tensleep",2.6,-1,Lead,Onsight,Sport,, ,3200
1781,2018-07-17,"Left of Waterfall 2","5.10b",,"https://www.mountainproject.com/route/1781Generic/",1,"Tensleep",2.9,-1,Lead,Flash,Sport,, ,2900
1782,2018-07-17,"Left of Waterfall 3","5.11b",,"https://www.mountainproject.com/route/1782Generic/",1,"Tensleep",2.9,-1,Lead,Onsight,Sport,, ,4900
